ANCHOR: BOAT, BOAT STOPPER, PIRATES
ARTICHOKE: GREEN, VEGETABLE, SPINAICH & ____ DIP
BANK: GREEN, BUILDING, VAULT
BED: PILLOW, CUSHY, SLEEP
BREATH: HOT, AIR, BLOW
CALENDAR: DAYS, WEEKS, MONTHS
CAR: LIGHTNING MCQUEEN, VROOM VROOM, DRIVE
CARPET: ALADDIN, YOU CAN VACUUM IT, FLOOR
CLOCK: _____ IT, TICK TOCK, TIME
COMB: LOOK THROUGH, HAIR, NOT BRUSH
CUTLERY: GREY, WASH, SILVER
DARKNESS: BATMAN, BLACK, SHADOW
DOZENS: EGGS, LESS THAN THIRTEEN, BAKING
EGG: BALD, SHELL, SULFUR
ELECTRICITY: SHOCK, LIGHTENING, CHARGE
FIVE: 6, 7, 8
FOOTPRINTS: DIGITAL, CARBON, SHOE
FROSTBITE: YOU DIE, BLACK, COLD
FUTURE: THE DELORIAN, TOMORROW, RAPPER
KITTEN: CUTE, CAT, BABY
LEGS: DUMP TRUCK, BOOTY, CHEEKS 
LIGHT: BULB, EINSTEIN, _____ BLUE
MAP: GOOGLE, APPLE, HASH ___
MONEY: GREEN, LOSING WORTH, TIME IS _____
PIANO: MAN, BILLY JOEL, MUSIC
PRISON: WHERE BRIAN SHOULD BE, BARS, JUMPSUITS
PYRAMID: TRIANLGES, EGYPTIANS, SCHEME
QUEUE: LEANNE HATES THIS SPELLING, LINES, BRITISH LINES
ROAD: ____ RUNNER, ROCKY ____, YOU DRIVE ON IT
SCREWDRIVER: ALCOHOL, DANCE, FLATHEAD
SHADOW: COPY CAT, EYE, BATMAN
SHOE: FOOT COVERS, SNOW ____, IT HAS LACES
SHORT: KILEY, NOT ALL OF THE MONEY, NOT LONG
SILENCE: NOT LOUD, WE'RE INCAPABLE OF IT, THE SOUND OF _______
SPONGE: BOB, CLEANING, BALD MAN
STAPLER: STORE?, FASTENS PAPER, NOT TAPE OR GLUE
STONE: SWORD IN IT, HARD, GREY ROCK 
TABLE: SET ASIDE, OH NO! IT'S BROKEN!, CHAIR 
TEAPOT: SHORT AND STOUT, SCREAM, LIQUID
TIME: TIKTOK, DEATH, CLOCK
TON: A LOT, MORE THAN A KILOGRAM, METRIC SYSTEM
TONGUE: WHAT I USE TO EAT GOLDFISH, SHOE, TASTE
TOMORROW: YESTERDAY, TODAY, NEXT DAY
TOWEL: BEACH _____, _____ OFF, THREADCOUNT
TREE: SASSAFRAS, TRUFFULA, BAOBAB
TULIPS: NETHERLANDS, ROWS, PRETTY COLORS
UMBRELLA: TOM HOLLAND, RIHANNA, ACADEMY
WIND: BLOW, BREEZE, COLD
WRONG: RED, BRIAN, NOT RIGHT
YARDSTICK: BIGGER THAN YOU THINK, US CUSTOMARY SYSTEM, RULER
